"At COP26, Biden Calls for Climate Action Amid Wide Divisions","WSJ","The U.S. president said the coming decade will be decisive, as world leaders faced large gaps over how to slash emissions quickly enough to avoid the most destructive effects of global warming.","2021-11-01 15:43:00","Top News","https://www.wsj.com/articles/cop26-kicks-off-in-glasgow-amid-sharp-divides-over-climate-goals-11635767355","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","0d7185254fc4f3f73169cfd1cb7216f1"
"Lebanon Faces Deepening Economic Crisis as Saudis Cut Ties Over Iran","WSJ","Saudi Arabia banned imports from Lebanon and, along with three other Gulf states, expelled its ambassador following remarks by an official about the war in Yemen.","2021-11-01 13:07:00","Top News","https://www.wsj.com/articles/lebanon-faces-deepening-economic-crisis-as-saudis-cut-ties-over-iran-11635772026","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","d3f4acc96c81c02ff828d08387f0cab4"
"Some of the World's Last Covid-19 Travel Holdouts Are Reopening","WSJ","Australia is allowing its citizens to travel freely into and out of the country if they are vaccinated, while Thailand began permitting vaccinated tourists from many countries to enter without requiring extended quarantines.","2021-11-01 12:19:00","Top News","https://www.wsj.com/articles/some-of-the-worlds-last-covid-19-travel-holdouts-are-reopening-11635769187","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","381a70b3cc77e1a27b887cf6a27a61a5"
"Japanese Elections Fail to Produce Gains for Women","WSJ","The result of Japan’s election—a victory for the long-ruling Liberal Democratic Party—was familiar in another way as well. Less than one in 10 of the victorious candidates were women.","2021-11-01 11:14:00","Top News","https://www.wsj.com/articles/japanese-elections-fail-to-produce-gains-for-women-11635765296","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","b9a04dc318c19c5178cc7720da7a2e38"
"Stranded Mariners Can Now Get Covid Vaccines at Port","WSJ","Crews on cargo ships are receiving shots world-wide, preventing more supply-chain disruptions and allowing them to finally disembark.","2021-11-01 09:30:00","Top News","https://www.wsj.com/articles/mariners-can-now-get-covid-19-vaccines-at-port-after-months-stranded-at-sea-11635759001","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","0aa744ba52e9b30be9e32b222fd49219"
"At COP26, Biden Calls for More Action on Climate as Divides Widen","WSJ","As U.S. president says the coming decade will be decisive for avoiding the most destructive effects of global warming, India gives slower-than-expected deadline for slashing its carbon emissions.","2021-11-01 22:37:00","Top News","https://www.wsj.com/articles/cop26-kicks-off-in-glasgow-amid-sharp-divides-over-climate-goals-11635767355","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","71e63531d6a52c4ae3744aff2e4453c1"
"At Least 23 Killed in Two Explosions, Gunfire at Kabul's Main Military Hospital","WSJ","The complex attack bore the hallmarks of Islamic State, which has intensified the tempo of strikes against Taliban targets and the country’s Shiite minority in recent weeks.","2021-11-02 11:56:00","Top News","https://www.wsj.com/articles/afghanistans-main-military-hospital-hit-by-two-explosions-gunfire-11635847126","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","756ad1d2c65010a73de2400908f7f50a"
"Yahoo Quits China, Ending a Rocky Two-Decade Relationship","WSJ","The company cited an increasingly challenging business and legal environment in the country, and is the second well-known U.S. tech firm to downsize China operations in less than a month.","2021-11-02 11:15:00","Top News","https://www.wsj.com/articles/yahoo-pulls-out-of-china-ending-tumultuous-two-decade-relationship-11635848926","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","c6b45149cade38eaa93fa49268aaa4d5"
"Leaders Agree to End Deforestation by 2030","WSJ","World leaders at the COP26 summit, including the U.S., China and Brazil, agreed to a deal aimed at ending and then reversing deforestation by 2030, committing nearly $20 billion of public and private funds to protect and restore forests.","2021-11-02 10:49:00","Top News","https://www.wsj.com/articles/cop26-leaders-agree-to-end-deforestation-by-2030-11635844937","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","701895da2f9ebea0b4649db9e34f6813"
"Attack on Kabul Military Hospital Leaves at Least 23 Dead","WSJ","The complex attack bore the hallmarks of Islamic State, which has intensified the tempo of strikes against Taliban targets and the country’s Shiite minority in recent weeks.","2021-11-02 14:00:00","Top News","https://www.wsj.com/articles/afghanistans-main-military-hospital-hit-by-two-explosions-gunfire-11635847126","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","be7a75858e3048f592deb8bbd1338497"
"A Rabbi Searches for a Congregation in Saudi Arabia, Birthplace of Islam","WSJ","Jacob Herzog wants to offer religious services to Jewish expats. So far, the kingdom isn’t interested, but he’s undaunted; ‘Have to make a leap of faith.’","2021-11-02 14:49:00","Top News","https://www.wsj.com/articles/a-rabbi-searches-for-a-congregation-in-saudi-arabia-birthplace-of-islam-11635864559","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","7b6a11624d1406f9f66913ed967adfd2"
"Tariffs to Tackle Climate Change Gain Momentum. The Idea Could Reshape Industries.","WSJ","Wealthy nations are proposing tariffs on imports like steel and cement that result in high carbon emissions. The proposals could boost U.S. manufacturers—but could also undermine world trade rules and even trigger trade disputes.","2021-11-02 14:22:00","Top News","https://www.wsj.com/articles/tariffs-climate-change-greenhouse-gases-manufacturing-steel-11635862305","4288464f77b21d159a5c90ee1315701313e12cf4a1997b77343c918c0200a81a","2d5b20ab0cc6312346079de900a8f7f8"
