"Welcome to DataDecisionMakers","VentureBeat","DataDecisionMakers is where experts, including the people doing data work, share insight and innovation with the VentureBeat community.","2021-11-01 21:26:31","Technology","https://venturebeat.com/2021/11/01/welcome-to-datadecisionmakers/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","5918da272a57ef79dd4b059bf54a1981"
"AI technology modernizes warehouse management","VentureBeat","AI plays a key role in smoothing out bumps that exist in the warehouse management sector, and perhaps will provide relief to supply chains.","2021-11-01 21:20:33","Technology","https://venturebeat.com/2021/11/01/ai-technology-modernizes-warehouse-management/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","f473cc3264be299054835f6fc6fd1527"
"World of Warcraft cross-faction raiding is on Blizzard’s radar","VentureBeat","Cross-faction raiding has been an often requested feature from the World of Warcraft community, and it may be coming.","2021-11-01 21:12:24","Technology","https://venturebeat.com/2021/11/01/world-of-warcraft-cross-faction-raiding-is-on-blizzards-radar/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","1f56879d81343fdd8a20d6b9c8378c32"
"Metaverse social app Flickplay raises $5M","VentureBeat","Flickplay, an app designed to help users flex their metaverse collectibles, raised $5 million from investors.","2021-11-01 20:01:33","Technology","https://venturebeat.com/2021/11/01/metaverse-social-app-flickplay-raises-5m/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","3bda631c67be6ea30aaf41194e7cc79b"
"Loud man yells until Bugsnax studio adds trophies to its DLC","VentureBeat","Loud and large industry person, Greg Miller, continued his campaign of terror against Bugsnax for not adding trophies.","2021-11-01 19:57:10","Technology","https://venturebeat.com/2021/11/01/large-loud-man-yells-until-bugsnax-studio-adds-trophies-to-its-dlc/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","efbab84028161a618ea177fde8e0ccc0"
"GamesBeat Summit Next’s agenda is full of ways to level up gaming","VentureBeat","GamesBeat Summit Next will feature talks about tech and trends that will expand gaming in an online event on November 9-10, 2021.","2021-11-01 17:30:19","Technology","https://venturebeat.com/2021/11/01/gamesbeat-summit-nexts-agenda-is-full-of-ways-to-level-up-gaming/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","726f65d47c522c3d6f343da44da3b759"
"Sega and Microsoft plan strategic alliance for ‘Super Game’","VentureBeat","Sega and Microsoft have agreed in principle about a new partnership that would allow Sega to develop a Super Game with Azure.","2021-11-01 17:17:59","Technology","https://venturebeat.com/2021/11/01/sega-and-microsoft-plan-strategic-alliance-for-super-game/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","c850f60aa3ceef30208bcd3d5481d306"
"Sales intelligence platform Apollo.io lands $32M","VentureBeat","Apollo.io, a sales intelligence platform, today announced it has raised $32 million in a Series B round led by Tribe Capital.","2021-11-01 17:00:42","Technology","https://venturebeat.com/2021/11/01/sales-intelligence-platform-apollo-io-lands-32m/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","1425eb40e30ce6242b156464d88acea5"
"Teleoperation and the future of safe driving","VentureBeat","Traditional teleoperation created more problems than it solved. The solution for driving is tele-assistance.","2021-11-01 17:00:36","Technology","https://venturebeat.com/2021/11/01/the-safety-spectrum-of-teleoperation/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","27a6aa65a53ea24b93ee719f8df5b8c9"
"World of Warcraft director Ion Hazzikostas talks the game’s future and current soul-searching","VentureBeat","Last week, I had a chance to talk with World of Warcraft director Ion Hazzikostas. I asked him about what's been happening inside Blizzard.","2021-11-01 17:00:31","Technology","https://venturebeat.com/2021/11/01/world-of-warcraft-director-ion-hazzikostas-talks-the-games-future-and-current-soul-searching/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","fcdb4b48a060034865d671e7edaff5e2"
"Multiverse Computing utilizes quantum tools for finance apps","VentureBeat","While some view quantum computing as generally slow in developing, the finance sector shows specific early promise.","2021-11-01 16:20:05","Technology","https://venturebeat.com/2021/11/01/multiverse-computing-utilizes-quantum-tools-for-finance-apps/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","bd88a260e74f3253630b948d6770d01e"
"Machine learning deployment platform OctoML raises $85M","VentureBeat","OctoML, which helps companies deploy their machine models into production, has raised $85 million in a series C round of funding.","2021-11-01 16:04:49","Technology","https://venturebeat.com/2021/11/01/machine-learning-deployment-platform-octoml-raises-85m/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","17a6a6e55c90e5a2bc2ee24d5c76d89d"
"Riot Games announces RiotX Arcane event to promote animated series","VentureBeat","Riot Games is preparing a multi-game promotional event to prepare for the launch of the Arcane animated series.","2021-11-01 15:00:37","Technology","https://venturebeat.com/2021/11/01/riot-games-announces-riotx-arcane-event-to-promote-animated-series/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","22b845ab5ac46e7cf1d3e5e1da152e83"
"Timesheet tracking app When I Work raises $200M","VentureBeat","When I Work, a startup developing software to let employers more easily track gig employees, has raised $200M in venture capital.","2021-11-01 13:15:33","Technology","https://venturebeat.com/2021/11/01/timesheet-tracking-app-when-i-work-raises-200m-in-major-growth-round/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","6eebed9a58697812acc26dc00ddce91b"
"Kek Entertainment raises $3 million to make mobile action games","VentureBeat","Cyprus and Moscow-based Kek Entertainment has raised $3 million in pre-seed funding to make mobile action games.","2021-11-01 12:30:54","Technology","https://venturebeat.com/2021/11/01/kek-entertainment-raises-3-million-to-make-mobile-action-games/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","29d3ee6ddc85ed63752c672ad17fc572"
"Suse acquires NeuVector to bolster Kubernetes security","VentureBeat","Suse has acquired NeuVector, a container security company that helps companies secure their apps on any infrastructure.","2021-11-01 12:08:24","Technology","https://venturebeat.com/2021/11/01/suse-acquires-neuvector-to-bolster-kubernetes-security/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","36e5abd3ff1ccc466e6b4cfe75f394f4"
"Facebook battles the challenges of tactile sensing","VentureBeat","Facebook detailed its efforts to overcome challenges in tactile sensing, which include developing new sensors and modeling techniques.","2021-11-01 12:00:44","Technology","https://venturebeat.com/2021/11/01/facebook-battles-the-challenges-of-tactile-sensing/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","7adf987d48e8abea79d9c1d130447656"
"DeepMind takes next step in robotics research","VentureBeat","MuJoCo's free availability will have a positive impact on the work of scientists who are struggling with the costs of robotics research.","2021-10-31 22:40:29","Technology","https://venturebeat.com/2021/10/31/deepmind-takes-next-step-in-robotics-research/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","794beeea28aeb8811de91e5ca243d0e7"
"Report: At least 25% of consumers use biometrics for online security","VentureBeat","Consumers are concerned about their online security, and many have taken action by moving to biometrics and using authentication software.","2021-10-31 19:15:06","Technology","https://venturebeat.com/2021/10/31/report-at-least-25-of-consumers-use-biometrics-for-online-security/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","5f654488c3c60e6c7e2872e7b6fbb850"
"Medical digital twins secure COVID-19 data","VentureBeat","The widespread adoption of medical digital twins requires combining sensitive medical data to create the best models.","2021-10-31 17:20:21","Technology","https://venturebeat.com/2021/10/31/medical-digital-twins-secure-covid-19-data/","1a71342d965cd9f7fc4a06e807a5c67bbf88ec384aa43a86d534db7fcb0cb175","2d3b86ecd2ac5d54ec5fa52a630ab88b"
