"Burger King, Robinhood serving up 'side of crypto' with Bitcoin, Dogecoin, Ethereum giveaway","FOX Business","The giveaway, which runs through Nov. 21 at 11:59 p.m. ET or while supplies last, will give up to 220 participants a chance to win one coin from a pool of 20 Bitcoin, 200 Ethereum and 2 million Dogecoin.","2021-11-01 21:34:01","Business","https://www.foxbusiness.com/markets/burger-king-robinhood-bitcoin-dogecoin-ethereum-giveaway?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","083851d99190078be3dcca136903d255"
"'Squid Game' cryptocurrency developers steal millions in purported 'rug pull' scam","FOX Business","The SQUID token skyrocketed to a high of $2,861.80 before plunging to zero around 5:40 a.m. Monday. The meme coin's market capitalization hit an estimated $2.2 million, according to CoinMarketCap.","2021-11-01 20:31:25","Business","https://www.foxbusiness.com/markets/squid-game-cryptocurrency-scam?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","dcde71fc4340baf5172c432fe86adf47"
"Dow Jones, S&P, Nasdaq hit record highs as November trading kicks off","FOX Business","U.S. stocks rallied Monday with all three of the major averages closing in record territory on the first trading day of November.","2021-11-01 20:00:33","Business","https://www.foxbusiness.com/markets/stocks-kick-off-november-gains?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","a865842985a65f9a86a395f36520a6fd"
"Moderna shares tank after FDA delays COVID vaccine for 12- to 17-year-olds","FOX Business","Shares in Moderna Inc. dropped at least 5% as trading opened Monday after a delay in the decision to approve the COVID-19 vaccine for adolescents ages 12-17.","2021-11-01 15:35:45","Business","https://www.foxbusiness.com/markets/moderna-shares-fda-delays-covid-vaccine?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","c277ec8c34bb80bf9b4bd8791d009575"
"Harley-Davidson stock soars as US, EU reach deal on steel and aluminum tariffs","FOX Business","Harley-Davidson Inc. shares rallied sharply Monday after the U.S. and European Union settled a dispute over steel and aluminum tariffs.","2021-11-01 14:58:17","Business","https://www.foxbusiness.com/markets/harley-davidson-stock-us-eu-deal-steel-aluminum-tariffs?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","ad0130c52d84fc237b7a000245c6c349"
"Coca-Cola buys remaining BodyArmor stake for $5.6 billion","FOX Business","BodyArmor, which is currently the second largest player in the sports drink category behind PepsiCo's Gatorade, has generated more than $1.4 billion in retail sales, up about 50% this year.","2021-11-01 14:53:52","Business","https://www.foxbusiness.com/markets/coca-cola-bodyarmor-purchase?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","72a2e15f8dcdc0e486dcb4b5ca601b94"
"November for stocks begins best 3 months","FOX Business","U.S. stocks have seen a record year already and the environment may get even better in the next three months.","2021-11-01 11:30:56","Business","https://www.foxbusiness.com/markets/november-for-stocks-begins-best-3-months?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","c1fe61256fe767a35a0498210ee9fa5a"
"Bitcoin higher Monday morning after October rally in cryptocurrency market","FOX Business","Bitcoin was trading 2.4% higher Monday morning.","2021-11-01 09:41:37","Business","https://www.foxbusiness.com/markets/bitcoin-higher-monday-morning-after-october-rally-in-cryptocurrency-market?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","fd0e552bbc086f1b680c5d5a18630d77"
"Stocks trending higher early Monday as new week of third-quarter earnings reports kick off","FOX Business","U.S. equity futures were inching higher early Monday morning as another week of earnings reports kicks off with 161 companies in the S&P 500 -- or about one-third of the benchmark index – scheduled to report their July-through-September results.","2021-11-01 07:30:42","Business","https://www.foxbusiness.com/markets/stocks-trending-higher-early-monday-as-new-week-of-third-quarter-earnings-kicks-off?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","a2544ad69a23cab5dc4be8d8f1c9ca14"
"Oil falls after China releases reserves of gasoline, diesel","FOX Business","Oil prices fell on Monday after China said it released reserves of gasoline and diesel to boost supply, while investors unwound long positions ahead of an OPEC+ meeting on Nov. 4.","2021-11-01 05:28:56","Business","https://www.foxbusiness.com/markets/oil-falls-after-china-releases-reserves-of-gasoline-diesel?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxbusiness%2Flatest+%28Internal+-+Latest+News+-+Text%29","114343caa84b3fb6a7393178feee136e1b966d9cb64b8e60cdd0377a17d58697","7a2bb6806388a841c1e4bdc6b439ca17"
